id;prenom;annee;genre
25211;Marion;2012;Féminin
25218;Marion;2016;Féminin
25221;Marius;2021;Masculin
25222;Marius;2021;Masculin
25229;Marius;2019;Masculin
25241;Marius;2016;Masculin
25243;Marius;2016;Masculin
25244;Marius;2016;Masculin
25245;Marius;2016;Masculin
25250;Marius;2015;Masculin
25251;Marius;2014;Masculin
25252;Marius;2014;Masculin
25259;Marius;2011;Masculin
25262;Marius;2020;Masculin
25267;Marius;2017;Masculin
25269;Marius;2019;Masculin
25271;Marius;2019;Masculin
25274;Marius;2020;Masculin
25292;Marley;2011;Masculin
25298;Marley;2011;Masculin
25321;Martin;2021;Masculin
25322;Martin;2021;Masculin
25324;Martin;2020;Masculin
25333;Martin;2019;Masculin
25334;Martin;2018;Masculin
25337;Martin;2018;Masculin
25342;Martin;2017;Masculin
25350;Martin;2016;Masculin
25351;Martin;2016;Masculin
25353;Martin;2016;Masculin
25358;Martin;2015;Masculin
25373;Martin;2014;Masculin
25380;Martin;2017;Masculin
25390;Martin;2012;Masculin
25395;Martin;2012;Masculin
25398;Martin;2011;Masculin
25402;Martin;2011;Masculin
25405;Martin;2019;Masculin
25415;Martin;2010;Masculin
25422;Martin;2021;Masculin
25435;Martin;2019;Masculin
25442;Martin;2019;Masculin
25444;Martin;2017;Masculin
25456;Marvin;2010;Masculin
25459;Marwa;2021;Féminin
25471;Marwa;2012;Féminin
25472;Marwa;2012;Féminin
25479;Marwan;2021;Masculin
25480;Marwan;2021;Masculin
25484;Marwan;2018;Masculin
25492;Marwan;2011;Masculin
25502;Marwane;2011;Masculin
25503;Marwane;2010;Masculin
25512;Maryam;2021;Féminin
25522;Maryam;2016;Féminin
25526;Maryam;2014;Féminin
25528;Maryam;2012;Féminin
25529;Maryam;2011;Féminin
25530;Maryam;2010;Féminin
25586;Mateo;2021;Masculin
25587;Mateo;2011;Masculin
25592;Mateo;2014;Masculin
25596;Matéo;2021;Masculin
25614;Matéo;2020;Masculin
25615;Matéo;2017;Masculin
25626;Mathéo;2021;Masculin
25628;Mathéo;2021;Masculin
25636;Mathéo;2019;Masculin
